customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,-0.3267843766371999,France,Female,42,2,0.0,1,1,1,101348.88,1
15647311,-0.4406365326084161,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
15619304,-1.5377573083310454,France,Female,42,8,159660.8,3,1,0,113931.57,1
15701354,0.5012313031534638,France,Female,39,1,0.0,2,0,0,93826.63,0
15737888,2.0641108987583414,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
15574012,-0.05767928070523418,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
15592531,1.7743054108316092,France,Male,50,7,0.0,2,1,1,10062.8,0
15792365,-1.5481075043284287,France,Male,44,4,142051.07,2,0,1,74940.5,0
15592389,0.34597836319271436,France,Male,27,2,134603.88,1,1,1,71725.73,0
15767821,-1.2686522123990798,France,Male,31,6,102016.72,2,0,0,80181.12,0
15737173,-1.5895082883179619,Spain,Male,24,3,0.0,2,1,0,76390.01,0
15632264,-1.806862404263011,France,Female,34,10,0.0,2,1,0,26260.98,0
15691483,-1.0512980964540306,France,Female,25,5,0.0,2,0,0,190857.79,0
15600882,-0.16118124067906714,Spain,Female,35,7,0.0,2,1,1,65951.65,0
15643966,-0.35783496462934977,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
15737452,0.02512228727383218,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
15568982,0.7806865950828128,France,Female,24,6,0.0,2,1,1,54724.03,0
15577657,0.8427877710671126,France,Male,41,8,0.0,2,1,1,170886.17,0
15597945,-0.15083104468168385,Spain,Female,32,8,0.0,2,1,0,138555.46,0
15699309,-1.454955740351979,Spain,Female,38,4,0.0,1,1,0,118913.53,1
15725737,0.1907254232319649,France,Male,46,3,0.0,2,0,1,8487.75,0
15625047,2.0227101147688082,France,Female,38,5,0.0,1,1,1,187616.16,0
15738191,-0.7614926085272983,France,Male,25,3,0.0,2,0,1,124508.29,0
15736816,1.0911924750043116,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
15700772,-0.823593784511598,France,Male,44,9,0.0,2,0,0,38433.35,0
15728693,-0.7925431965194482,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
15656300,-2.479625144092925,France,Male,29,0,59697.17,2,1,1,53483.21,0
15589475,-0.6165898645639322,Spain,Female,39,3,0.0,3,1,0,140469.38,1
15706552,-1.2169012324121633,France,Male,36,7,85311.7,1,0,1,156731.91,0
15750181,-1.0098973124644974,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
15659428,-1.3514537803781461,Spain,Female,42,6,0.0,2,1,1,34410.55,0
15732963,0.7392858110932795,Spain,Female,29,9,0.0,2,1,1,142033.07,0
15794171,-1.8172126002603943,France,Female,45,0,134264.04,1,1,0,27822.99,1
15788448,-1.661959660299645,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
15729599,1.5880018828787097,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
15717426,2.0641108987583414,France,Male,36,7,0.0,1,1,1,40812.9,0
15585768,-0.7097416285403818,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
15619360,-1.8482631882525442,Spain,Male,40,4,0.0,1,1,0,70154.22,0
15738148,-1.9207145602342273,France,Female,51,8,122522.32,1,0,0,181297.65,1
15687946,-0.9788467244723474,France,Female,61,2,117419.35,1,1,1,94153.83,0
15755196,1.8985077628002087,France,Female,49,2,131394.56,1,0,0,194365.76,1
15684171,0.09757365925551524,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15754849,1.2981963949519775,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
15602280,1.8467567828132923,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
15771573,-0.14048084868430055,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
15766205,-1.0409479004566473,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
15771873,1.2981963949519775,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
15616550,0.49088110715608047,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
15768193,-0.6786910405482319,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
15683553,1.422398746920577,France,Female,33,5,0.0,2,0,0,116978.19,0
15702298,0.04582267926859877,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
15569590,-0.5130879045900992,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15760861,-0.3267843766371999,France,Male,43,1,125211.92,1,1,1,113410.49,0
15630053,0.05617287526598207,France,Male,45,5,127864.4,1,1,0,87107.57,0
15647091,0.7703363990854295,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
15623944,-1.4446055443545958,Spain,Female,66,4,0.0,1,1,0,1643.11,1
15804771,-0.37853535662411636,France,Male,51,4,40685.92,1,1,1,46775.28,0
15651280,0.9462897310409455,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
15773469,0.37702895118486424,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
15702014,-0.9891969204697307,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
15751208,0.34597836319271436,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
15592461,-0.4923875125953326,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
15789484,1.0394414950173951,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
15696061,-0.7200918245377651,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
15641582,0.8738383590592624,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
15638424,0.10792385525289855,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
15755648,0.25282659921626466,France,Female,21,8,98373.26,1,1,0,18203.0,0
15703793,0.9048889470514123,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
15620344,1.6811536468551593,France,Male,29,6,0.0,1,1,0,33953.87,0
15812518,0.06652307126336536,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
15779052,-0.4820373165979493,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
15770811,-1.3618039763755294,France,Male,36,9,0.0,2,0,1,145562.4,0
15780961,0.8738383590592624,France,Female,21,1,178718.19,2,1,0,22388.0,0
15614049,0.13897444324504843,France,Male,55,8,0.0,2,1,1,139161.64,0
15662085,0.28387718720841454,France,Female,32,9,0.0,1,1,1,148210.64,0
15575185,1.101542671001695,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
15803136,-2.427874164106009,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
15706021,0.14932463924243172,France,Female,34,1,96645.54,2,0,0,171413.66,0
15663706,1.3085465909493608,France,Female,32,2,0.0,1,1,0,136458.19,1
15641732,-1.1133992724383304,France,Female,36,3,0.0,2,0,0,26019.59,0
15701164,-1.4963565243415122,France,Female,34,4,90307.62,1,1,1,159235.29,0
15738751,-1.630909072307495,France,Female,46,4,0.0,2,1,0,1907.66,0
15805254,0.014772091276448884,Spain,Female,75,10,0.0,2,1,1,114675.75,0
15762418,1.0290912990200118,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
15625759,0.8117371830749627,France,Male,30,9,0.0,2,1,0,151869.35,0
15622897,-0.04732908470785089,France,Female,46,4,0.0,3,1,0,93251.42,1
15767954,-0.16118124067906714,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
15757535,-0.036978888710467596,Spain,Female,44,5,0.0,3,1,1,174205.22,1
